id,name,brand,description,category_id
58c047db-f3bf-4edd-b82f-65b631311e56,ADIDAS Men & White Polo T-shirt,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
8c087ce5-cde4-4ae3-9000-a296276407ff,ADIDAS Men & White Shirt,ADIDAS,,f59fe3f7-dfb5-4e97-87bd-3a96f6dab1d3
227109c4-4116-43ab-8952-4a9aec310333,ADIDAS Men & White Striped Polo T-shirt,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
5c095e43-c2c3-45c6-ac0b-62815f0bb102,ADIDAS Men 22YDS Trainer Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
cd48acbe-698a-4142-a92a-9dd833d9e52e,ADIDAS Men 22Yds Trainer2 Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
1ab16914-61d7-4e7e-b40f-db76730367dc,ADIDAS Men 3 Fingers T-shirt,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
e1c0c02f-7b8b-4716-91b4-9373b1852a62,ADIDAS Men 3 Series Light Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
329bd8cd-0096-4efa-9eae-0c4c451bc4c9,ADIDAS Men 3 Stripe Polo T-shirt,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
160e2c9f-d099-46f0-bc86-20d6cde4aea0,ADIDAS Men 3 Stripe T-shirt,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
6a2c300c-efcd-483b-a2ba-52db193dbf03,ADIDAS Men 3/4 Length Pants,ADIDAS,,1d27d774-798c-44bb-9544-45646409e6bb
5ddecf6b-26f7-420b-b283-9f964601d728,ADIDAS Men 3/4 Pant,ADIDAS,,1d27d774-798c-44bb-9544-45646409e6bb
051ce22d-312d-4ca3-9e1b-8e54093e10de,ADIDAS Men AX Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
264172e9-94af-4b15-8352-776aa669d97c,ADIDAS Men AX1 Casual Shoes,ADIDAS,,7a0b23cf-d7a8-419b-8ca3-42114be7ff9e
e0a3d69b-1975-4c7e-a935-52bf2a2c6917,ADIDAS Men AX1 Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
ba5691e4-e618-41d9-a8a4-6a39d6de6e16,ADIDAS Men Ab Gr Tee 2 T-Shirts,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
6ca19abf-5e5c-4574-9908-4928b06f3ac5,ADIDAS Men Absolion Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
f309d720-9f2e-4240-85f2-e4b42c9626de,ADIDAS Men Ac Milan Black Jersey,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
6ed1e267-b363-48b4-832f-833056efb702,ADIDAS Men Acm Jersey,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
4c967009-5250-44bb-885b-253b07acb7b1,ADIDAS Men Addcash Casual Shoes,ADIDAS,,7a0b23cf-d7a8-419b-8ca3-42114be7ff9e
6f5a055b-bfd8-440a-a923-f172c55ac51a,ADIDAS Men Addi Shorts,ADIDAS,,1d27d774-798c-44bb-9544-45646409e6bb
2eb084b6-3faf-465e-b87a-4091e87d0931,ADIDAS Men Adi BB Slide Flip Flops,ADIDAS,,3aa23739-d1a2-4d25-993e-0f5ed7f456a8
90cf58aa-b5c9-414e-8f6b-f81c316df1d7,ADIDAS Men Adi Cells Flip Flops,ADIDAS,,3aa23739-d1a2-4d25-993e-0f5ed7f456a8
1304b43b-7c04-4acf-b7b4-9f36445722aa,ADIDAS Men Adi Cliff Flip Flop,ADIDAS,,3aa23739-d1a2-4d25-993e-0f5ed7f456a8
0f849cf7-054f-440d-8677-93f95a456988,ADIDAS Men Adi Cliff Flip Flops,ADIDAS,,3aa23739-d1a2-4d25-993e-0f5ed7f456a8
cf583ee0-7221-472e-a417-0b10a64a6bd2,ADIDAS Men Adi Fiero M Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
eca9578b-bb36-4f83-b372-5cd0c7b534e4,ADIDAS Men Adi Fiero Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
fc39edb6-e64a-4686-94e5-e44950a01e81,ADIDAS Men Adi Linear Flip Flops,ADIDAS,,3aa23739-d1a2-4d25-993e-0f5ed7f456a8
8af2cc85-9902-445f-8881-b9f386e04bac,ADIDAS Men Adi Linear Slippers,ADIDAS,,3aa23739-d1a2-4d25-993e-0f5ed7f456a8
3d325a66-cbd8-42d1-bc7e-73e1ac5a57bc,ADIDAS Men Adi Mesh Flip Flops,ADIDAS,,3aa23739-d1a2-4d25-993e-0f5ed7f456a8
738686ea-ecd6-41e0-bbc6-98cdf93adc34,ADIDAS Men Adi Neo Tread Flip Flops,ADIDAS,,3aa23739-d1a2-4d25-993e-0f5ed7f456a8
cdafb419-8e40-489a-8e46-44be7008a3ac,ADIDAS Men Adi Primo Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
befab903-380e-4934-bdc1-44fcd875fed5,ADIDAS Men Adi Quest Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
f6db5884-e5eb-4274-8ed7-996905514bdf,ADIDAS Men Adi Splash Flip Flop,ADIDAS,,3aa23739-d1a2-4d25-993e-0f5ed7f456a8
8529078c-7986-4e12-81f4-b65038bfc0a6,ADIDAS Men Adi Stars Tread Flip Flops,ADIDAS,,3aa23739-d1a2-4d25-993e-0f5ed7f456a8
5eb5ab25-4630-4ca7-a548-bda80204cad9,ADIDAS Men Adi Surge Flip Flops,ADIDAS,,3aa23739-d1a2-4d25-993e-0f5ed7f456a8
5623a134-b418-48a5-988d-6b716907428a,ADIDAS Men Adi Wind Flip Flops,ADIDAS,,3aa23739-d1a2-4d25-993e-0f5ed7f456a8
0b0241d5-d2fa-409a-8b72-3ab0eff6e743,ADIDAS Men AdiCliff Flip Flops,ADIDAS,,3aa23739-d1a2-4d25-993e-0f5ed7f456a8
c4747065-0ca2-427a-ad57-45f65898bad2,ADIDAS Men Adipower Barricade Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
3ae17c46-3f89-4e97-ad55-f732c3eb1890,ADIDAS Men Adipower Predator HG Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
517d9591-d069-4f30-8fde-a8a4e3ca3a29,ADIDAS Men Adipure Blue Backpack,ADIDAS,,b1d2b1a5-1abd-4f77-8252-2fc82d487b4a
8305116d-e1cc-444d-81b7-924b900d6f37,ADIDAS Men Adipure Cap,ADIDAS,,664c4f55-92c9-462c-9d9c-63f64932bc5a
5e728572-7a8a-4d21-a501-d50ecf22b53c,ADIDAS Men Adipure Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
7e6fba8b-5cca-4d4b-a2da-f5da0a6675cd,ADIDAS Men Adipure Trainer Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
9044ab64-2550-4283-bb1c-cd7ae44cdf0d,ADIDAS Men Adipure White Backpack,ADIDAS,,b1d2b1a5-1abd-4f77-8252-2fc82d487b4a
d9e12fbf-7732-448f-8585-f9c42906ef54,ADIDAS Men Adistar Ride 3 Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
005482f3-683f-41d5-a88c-10a1fd54e51c,ADIDAS Men Adistar Salvation 3 Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
8d16cb22-53bf-4243-99c5-ff720935227e,ADIDAS Men Adistreet Lux Shoe,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
999e8bbf-2a55-49b1-9c94-2ff6bb729a4e,ADIDAS Men Adiwind Flip Flops,ADIDAS,,3aa23739-d1a2-4d25-993e-0f5ed7f456a8
b2cabb33-5448-47e8-83b5-eccf3004db1b,ADIDAS Men Adizero Sandals,ADIDAS,,f777c799-6b92-4fc0-b6c4-aa3f2b3b147c
976a930a-f449-432e-8b9a-9d0f9927a2fb,ADIDAS Men Adizero Shadow Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
638d8128-cf9b-4766-b3a4-beb77fc12670,ADIDAS Men Adizero Slide Flip Flops,ADIDAS,,3aa23739-d1a2-4d25-993e-0f5ed7f456a8
47d22fff-059d-4fbd-b6c8-8557c5e51af5,ADIDAS Men Adizero Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
359b3e0d-4aad-4388-aeb2-0ccbf2d9e2df,ADIDAS Men Adna 3s Shrt Kn Shorts,ADIDAS,,1d27d774-798c-44bb-9544-45646409e6bb
f63bd4aa-4648-409c-8285-ed1144026f9c,ADIDAS Men Adna Jackets,ADIDAS,,e7465cac-3158-42ca-8273-57d0f2dc5dfe
484e3f74-aa4d-4eea-97e3-5cff5f15ecdd,ADIDAS Men Adna Revpt Trackpant,ADIDAS,,bbad429b-9109-4d10-a02c-49d0489b603c
